Date,USD_Amount
11/01/2017,200.00
11/02/2017,28376.16
11/03/2017,18692.04
11/04/2017,12622.16
11/05/2017,8671.10
11/06/2017,16292.10
11/07/2017,17038.09
11/08/2017,8345.35
11/09/2017,11285.00
11/10/2017,14627.86
11/11/2017,10055.67
11/12/2017,8352.27
11/13/2017,13930.19
11/14/2017,11726.99
11/15/2017,10523.76
11/16/2017,13232.23
11/17/2017,14382.68
11/18/2017,9311.27
11/19/2017,12564.55
11/20/2017,14197.64
11/21/2017,11917.02
11/22/2017,13347.19
11/23/2017,7858.67
11/24/2017,7379.00
11/25/2017,10824.36
11/26/2017,7457.35
11/27/2017,13335.22
11/28/2017,12393.01
11/29/2017,8762.26
11/30/2017,10712.19
12/01/2017,11720.00
12/02/2017,14338.00
12/03/2017,10321.04
12/04/2017,16406.71
12/05/2017,17242.40
12/06/2017,15968.50
12/07/2017,9479.00
12/08/2017,10861.10
12/09/2017,15950.77
12/10/2017,6825.62
12/11/2017,17047.00
12/12/2017,10410.00
12/13/2017,11245.10
12/14/2017,7568.00
12/15/2017,15203.70
12/16/2017,17688.00
12/17/2017,11237.05
12/18/2017,15241.38
12/19/2017,14295.33
12/20/2017,17876.01
12/21/2017,14923.33
12/22/2017,17932.13
12/23/2017,23793.70
12/24/2017,12121.00
12/26/2017,14427.00
12/27/2017,12420.53
12/28/2017,10690.05
12/29/2017,20253.00
12/30/2017,20694.28
12/31/2017,8959.40
01/02/2018,9596.05
01/03/2018,13024.70
01/04/2018,7758.00
01/05/2018,13506.84
01/06/2018,12163.14
01/07/2018,11020.49
01/08/2018,17132.01
01/09/2018,12956.00
01/10/2018,16735.00
01/11/2018,9685.00
01/12/2018,11755.29
01/13/2018,10295.00
01/14/2018,8542.00
01/15/2018,18303.01
01/16/2018,11673.37
01/17/2018,8017.00
01/18/2018,14418.16
01/19/2018,4612.10
01/20/2018,9719.00
01/21/2018,7354.00
01/22/2018,12949.54
01/23/2018,14687.00
01/24/2018,8406.00
01/25/2018,7056.41
01/26/2018,8988.52
01/27/2018,14040.21
01/28/2018,8665.18
01/29/2018,11182.83
01/30/2018,14866.63
01/31/2018,14380.18
