DATE,Price
07/02/2018,51.178
06/02/2018,51.421
05/02/2018,51.673
02/02/2018,51.655
01/02/2018,51.605
31/01/2018,51.365
30/01/2018,51.395
29/01/2018,51.279
26/01/2018,50.981
25/01/2018,50.965
24/01/2018,50.782
23/01/2018,51.099
22/01/2018,51.01
19/01/2018,50.712
18/01/2018,50.795
17/01/2018,50.754
16/01/2018,50.568
15/01/2018,50.368
12/01/2018,50.34
11/01/2018,50.367
10/01/2018,50.492
09/01/2018,50.358
08/01/2018,50.173
05/01/2018,49.779
04/01/2018,49.877
03/01/2018,49.819
02/01/2018,49.819
01/01/2018,49.919
29/12/2017,50.014
28/12/2017,50.01
27/12/2017,49.998
26/12/2017,49.934
25/12/2017,49.928
22/12/2017,50
21/12/2017,50.193
20/12/2017,50.125
19/12/2017,50.253
18/12/2017,50.372
15/12/2017,50.43
14/12/2017,50.465
13/12/2017,50.342
12/12/2017,50.438
11/12/2017,50.364
08/12/2017,50.475
07/12/2017,50.625
06/12/2017,50.724
05/12/2017,50.642
04/12/2017,50.631
01/12/2017,50.263
30/11/2017,50.352
29/11/2017,50.3
28/11/2017,50.289
27/11/2017,50.283
24/11/2017,50.629
23/11/2017,50.505
22/11/2017,50.499
21/11/2017,50.595
20/11/2017,50.779
17/11/2017,50.819
16/11/2017,50.71
15/11/2017,50.828
14/11/2017,51.215
13/11/2017,51.197
10/11/2017,51.237
09/11/2017,51.279
08/11/2017,51.26
07/11/2017,51.405
06/11/2017,51.127
03/11/2017,51.26
02/11/2017,51.37
01/11/2017,51.58
31/10/2017,51.612
30/10/2017,51.642
27/10/2017,51.599
26/10/2017,51.98
25/10/2017,51.736
24/10/2017,51.796
23/10/2017,51.52
20/10/2017,51.515
19/10/2017,51.469
18/10/2017,51.457
17/10/2017,51.377
16/10/2017,51.242
13/10/2017,51.15
12/10/2017,51.485
11/10/2017,51.405
10/10/2017,51.451
09/10/2017,51.23
06/10/2017,51.15
05/10/2017,51.16
04/10/2017,50.991
03/10/2017,51.066
02/10/2017,51.196
29/09/2017,50.89
28/09/2017,50.825
27/09/2017,50.98
26/09/2017,50.901
25/09/2017,50.687
22/09/2017,50.69
21/09/2017,51.059
20/09/2017,50.969
19/09/2017,51.093
18/09/2017,51.115
15/09/2017,51.289
14/09/2017,51.275
13/09/2017,51.041
12/09/2017,50.91
11/09/2017,50.94
08/09/2017,50.875
07/09/2017,50.665
06/09/2017,51.05
05/09/2017,51.078
04/09/2017,51.175
01/09/2017,51.074
31/08/2017,51.16
30/08/2017,51.24
29/08/2017,51.192
28/08/2017,51.047
25/08/2017,51.086
24/08/2017,51.017
23/08/2017,51.217
22/08/2017,51.334
21/08/2017,51.417
18/08/2017,51.426
17/08/2017,51.4
16/08/2017,51.285
15/08/2017,51.498
14/08/2017,51.261
11/08/2017,51.011
10/08/2017,50.959
09/08/2017,50.635
08/08/2017,50.555
07/08/2017,50.42
04/08/2017,50.305
03/08/2017,50.3
02/08/2017,50.371
01/08/2017,50.419
31/07/2017,50.459
28/07/2017,50.542
27/07/2017,50.532
26/07/2017,50.633
25/07/2017,50.592
24/07/2017,50.717
21/07/2017,50.719
20/07/2017,50.675
19/07/2017,50.834
18/07/2017,50.746
17/07/2017,50.702
14/07/2017,50.63
13/07/2017,50.574
