DATE,Price
03/01/2000,39.95
04/01/2000,39.85
05/01/2000,40.1
06/01/2000,40.7
07/01/2000,40.4
10/01/2000,40.35
11/01/2000,40.8
12/01/2000,40.65
13/01/2000,40.65
14/01/2000,40.6
17/01/2000,40.555
18/01/2000,40.595
19/01/2000,40.65
20/01/2000,40.6
21/01/2000,40.62
24/01/2000,40.55
25/01/2000,40.5
26/01/2000,40.55
27/01/2000,40.4
28/01/2000,40.5
31/01/2000,40.575
01/02/2000,40.6
02/02/2000,40.625
03/02/2000,40.675
04/02/2000,40.6
07/02/2000,40.58
08/02/2000,40.52
09/02/2000,40.5
10/02/2000,40.4
11/02/2000,40.48
14/02/2000,40.375
15/02/2000,40.455
16/02/2000,40.55
17/02/2000,40.585
18/02/2000,40.7
21/02/2000,40.7
22/02/2000,40.75
23/02/2000,40.7
24/02/2000,40.9
25/02/2000,40.9
28/02/2000,41
29/02/2000,41
01/03/2000,41.05
02/03/2000,40.95
03/03/2000,40.9
06/03/2000,40.9
07/03/2000,41.15
08/03/2000,41.05
09/03/2000,41
10/03/2000,40.9
13/03/2000,40.9
14/03/2000,40.95
15/03/2000,41
16/03/2000,41
17/03/2000,40.975
20/03/2000,41
21/03/2000,40.975
22/03/2000,40.925
23/03/2000,40.9
24/03/2000,40.95
27/03/2000,41
28/03/2000,41
29/03/2000,41.03
30/03/2000,41.08
31/03/2000,41.15
03/04/2000,41.18
04/04/2000,41.165
05/04/2000,41.2
06/04/2000,41.155
07/04/2000,41.17
10/04/2000,41.125
11/04/2000,41.125
12/04/2000,41.19
13/04/2000,41.18
14/04/2000,41.225
17/04/2000,41.225
18/04/2000,41.2
19/04/2000,41.24
20/04/2000,41.275
21/04/2000,41.275
24/04/2000,41.3
25/04/2000,41.35
26/04/2000,41.35
27/04/2000,41.335
28/04/2000,41.295
01/05/2000,41.275
02/05/2000,41.295
03/05/2000,41.325
04/05/2000,41.275
05/05/2000,41.35
08/05/2000,41.34
09/05/2000,41.3
10/05/2000,41.43
11/05/2000,41.5
12/05/2000,41.475
15/05/2000,41.565
16/05/2000,41.6
17/05/2000,41.72
18/05/2000,41.73
19/05/2000,41.7
22/05/2000,41.95
23/05/2000,42.375
24/05/2000,43.1
25/05/2000,43.05
26/05/2000,42.9
29/05/2000,42.705
30/05/2000,42.75
31/05/2000,42.65
01/06/2000,42.65
02/06/2000,42.5
05/06/2000,42.3
06/06/2000,42.365
07/06/2000,42.4
08/06/2000,42.45
09/06/2000,42.53
12/06/2000,42.5
13/06/2000,42.4
14/06/2000,42.4
15/06/2000,42.53
16/06/2000,42.58
19/06/2000,42.65
20/06/2000,42.7
21/06/2000,42.8
22/06/2000,42.95
23/06/2000,42.9
26/06/2000,42.9
27/06/2000,43
28/06/2000,43.1
29/06/2000,43.2
30/06/2000,43.25
03/07/2000,43.55
04/07/2000,43.55
05/07/2000,43.75
06/07/2000,43.98
07/07/2000,44.05
10/07/2000,44.3
11/07/2000,44.85
12/07/2000,44.7
13/07/2000,44.75
14/07/2000,44.55
17/07/2000,44.605
18/07/2000,44.58
19/07/2000,44.53
20/07/2000,44.48
21/07/2000,44.4
24/07/2000,44.55
25/07/2000,44.75
26/07/2000,45.05
27/07/2000,44.9
28/07/2000,44.95
31/07/2000,44.9
01/08/2000,44.8
02/08/2000,44.8
03/08/2000,44.65
04/08/2000,44.6
07/08/2000,44.8
08/08/2000,44.88
09/08/2000,44.8
10/08/2000,44.9
11/08/2000,44.78
14/08/2000,44.85
15/08/2000,44.95
16/08/2000,44.97
17/08/2000,44.95
18/08/2000,45
21/08/2000,44.93
22/08/2000,44.965
23/08/2000,44.94
24/08/2000,45
25/08/2000,45.1
28/08/2000,45.025
29/08/2000,45.075
30/08/2000,45.075
31/08/2000,45.105
01/09/2000,45.18
04/09/2000,45.3
05/09/2000,45.625
06/09/2000,45.55
07/09/2000,45.555
08/09/2000,45.55
11/09/2000,45.54
12/09/2000,45.65
13/09/2000,45.65
14/09/2000,45.665
15/09/2000,45.65
18/09/2000,45.85
19/09/2000,45.9
20/09/2000,45.95
21/09/2000,46
22/09/2000,46.05
25/09/2000,46.25
26/09/2000,46.15
27/09/2000,46.175
28/09/2000,46.275
29/09/2000,46.2
02/10/2000,46.25
03/10/2000,46.43
04/10/2000,46.5
05/10/2000,46.4
06/10/2000,46.3
09/10/2000,46.575
10/10/2000,46.85
11/10/2000,47.25
12/10/2000,47.5
13/10/2000,48.6
16/10/2000,48.6
17/10/2000,48.6
18/10/2000,48.75
19/10/2000,48.7
20/10/2000,48.85
23/10/2000,48.95
24/10/2000,49.25
25/10/2000,49.65
26/10/2000,50.65
27/10/2000,51.15
30/10/2000,51.7
31/10/2000,51.15
01/11/2000,51.15
02/11/2000,51
03/11/2000,51
06/11/2000,47.9
07/11/2000,49.25
08/11/2000,50.15
09/11/2000,49.85
10/11/2000,50.15
13/11/2000,50.15
14/11/2000,49.85
